transaction_id,client_id,account_id,month,num_transactions,total_deposits,total_withdrawals
T000057,C0002,A00004,2025-08,10,1497.35,0
T000058,C0002,A00004,2025-09,9,1313.95,0
T000059,C0002,A00004,2025-10,4,1610.11,0
T000060,C0002,A00003,2025-10,4,1759.91,1362.16
T000061,C0002,A00004,2025-11,12,1510.96,0
T000062,C0002,A00003,2025-11,1,4931.03,573.17
T000063,C0003,A00005,2024-01,8,3135.3,1092.61
T000064,C0003,A00006,2024-02,2,410.9,3054.18
T000065,C0003,A00005,2024-02,3,2261.54,3550.18
T000066,C0003,A00006,2024-04,1,2354.48,3162.05
T000067,C0003,A00005,2024-04,12,1116.22,2200.25
T000068,C0003,A00005,2024-05,5,2865.28,533.86
T000069,C0003,A00006,2024-05,4,2623.22,2414.67
T000070,C0003,A00006,2024-06,9,1548.36,1637.78
T000071,C0003,A00006,2024-07,7,2551.11,2695.86
T000072,C0003,A00005,2024-08,2,1913.23,3954.65
T000073,C0003,A00005,2024-09,6,3402.3,6938.36
T000074,C0003,A00006,2024-10,1,1211.72,1077.56
T000075,C0003,A00006,2024-11,9,0,2196.51
T000076,C0003,A00005,2024-12,6,2362.75,5236.04
T000077,C0003,A00006,2024-12,7,1757.18,3735.35
T000078,C0003,A00005,2025-03,11,1792.28,6767.04
T000079,C0003,A00006,2025-03,4,1311.01,2002.6
T000080,C0003,A00005,2025-05,7,1585.63,2944.12
T000081,C0003,A00006,2025-06,11,67.87,1144.25
T000082,C0003,A00005,2025-06,11,2605.61,4127.03
T000083,C0003,A00006,2025-07,5,653.59,3439.08
T000084,C0003,A00005,2025-07,1,1217.15,5312.79
T000085,C0003,A00006,2025-08,9,2809.49,2626.88
T000086,C0003,A00006,2025-09,4,1497.04,1207.57
T000087,C0003,A00006,2025-10,8,2198.82,4658.18
T000088,C0003,A00005,2025-10,1,1294.19,3459.29
T000089,C0003,A00006,2025-11,2,1588.87,0
T000090,C0003,A00005,2025-11,4,3509.67,4493.17
T000091,C0003,A00005,2025-12,1,1757.27,3881.04
T000092,C0004,A00009,2024-01,11,4391.58,0
T000093,C0004,A00007,2024-01,10,2054.91,0
T000094,C0004,A00007,2024-02,8,754.99,0
T000095,C0004,A00008,2024-02,6,13.67,2177.64
T000096,C0004,A00009,2024-03,2,1645.54,1817.35
T000097,C0004,A00007,2024-04,8,2142.32,0
T000098,C0004,A00007,2024-05,11,2129.31,0
T000099,C0004,A00009,2024-06,4,1878.54,853.3
T000100,C0004,A00007,2024-07,11,1721.28,0
T000101,C0004,A00008,2024-07,10,5324.48,1262.29
T000102,C0004,A00007,2024-08,8,668.25,0
T000103,C0004,A00009,2024-09,12,1542.24,0
T000104,C0004,A00008,2024-10,6,2097.8,5563.79
T000105,C0004,A00007,2024-11,12,2074.64,0
T000106,C0004,A00007,2025-01,4,1903.92,0
T000107,C0004,A00007,2025-02,4,1635.06,0
T000108,C0004,A00007,2025-04,2,1895.65,0
T000109,C0004,A00008,2025-05,11,2722.82,675.79
T000110,C0004,A00009,2025-06,7,2030.49,1592.11
T000111,C0004,A00008,2025-07,2,7201.06,5465.47
T000112,C0004,A00008,2025-08,10,2964.22,5662.32
T000113,C0004,A00007,2025-08,1,1099.9,0
T000114,C0004,A00008,2025-09,2,1320.24,600.87
T000115,C0004,A00009,2025-09,4,1848.9,61.48
T000116,C0004,A00008,2025-10,1,1695.36,2004.89
T000117,C0004,A00007,2025-10,10,1311.04,0
T000118,C0005,A00011,2024-01,9,1446.81,0
T000119,C0005,A00011,2024-02,9,1705.48,0
T000120,C0005,A00012,2024-02,7,2067.81,0
T000121,C0005,A00012,2024-04,3,1636.44,263.74
T000122,C0005,A00012,2024-05,6,1173.64,0
T000123,C0005,A00010,2024-06,1,1683.91,0
T000124,C0005,A00012,2024-06,1,1791.12,0
T000125,C0005,A00010,2024-07,6,1919.42,0
T000126,C0005,A00010,2024-08,12,2208.43,0
T000127,C0005,A00011,2024-09,9,1396.96,0
T000128,C0005,A00012,2024-10,3,1170.42,831.98
T000129,C0005,A00011,2024-11,3,1468.47,0
T000130,C0005,A00012,2024-11,2,848.85,319.74
T000131,C0005,A00011,2024-12,9,1668.72,0
T000132,C0005,A00012,2024-12,3,1243.94,585.99
T000133,C0005,A00011,2025-01,7,1131.31,0
T000134,C0005,A00011,2025-02,1,1469.62,0
T000135,C0005,A00010,2025-02,5,1478.16,0
T000136,C0005,A00011,2025-03,2,1111.84,0
T000137,C0005,A00012,2025-03,9,2605.19,686.36
T000138,C0005,A00012,2025-05,6,2445.43,291.82
T000139,C0005,A00010,2025-05,5,1615.83,0
T000140,C0005,A00012,2025-06,9,1126.02,0
T000141,C0005,A00010,2025-06,1,1191.09,0
T000142,C0005,A00012,2025-07,1,1992.14,521.62
T000143,C0005,A00011,2025-07,9,640.27,0
T000144,C0005,A00010,2025-08,5,1868.21,0
T000145,C0005,A00012,2025-09,9,0,1105.52
T000146,C0005,A00010,2025-09,5,1084.16,0
T000147,C0005,A00012,2025-10,9,2836.41,213.04
T000148,C0005,A00010,2025-10,4,1015.04,0
T000149,C0005,A00011,2025-11,5,1452.12,0
T000150,C0005,A00010,2025-12,12,890.88,0
T000151,C0006,A00014,2024-01,3,1942.07,0
T000152,C0006,A00013,2024-01,1,2453.12,1857.77
T000153,C0006,A00013,2024-02,5,6108.09,3987.17
T000154,C0006,A00014,2024-03,6,1390.49,0
T000155,C0006,A00014,2024-04,4,2564.96,0
T000156,C0006,A00014,2024-07,9,1220.98,0
T000157,C0006,A00013,2024-07,10,1378.88,2713.52
T000158,C0006,A00014,2024-08,8,904.79,0
T000159,C0006,A00013,2024-08,11,4281.38,1397.52
T000160,C0006,A00013,2024-09,6,2663.85,2315.09
T000161,C0006,A00013,2024-10,2,987.89,942.55
T000162,C0006,A00013,2024-11,8,2861.27,3040.35
T000163,C0006,A00014,2025-03,2,1624.59,0
T000164,C0006,A00013,2025-03,8,3656.27,1970.31
T000165,C0006,A00014,2025-04,7,1699.43,0
T000166,C0006,A00013,2025-05,12,4189.5,5861.65
T000167,C0006,A00014,2025-06,6,1144.62,0
T000168,C0006,A00014,2025-07,10,1206.97,0
T000169,C0006,A00013,2025-10,4,2222.4,36.97
T000170,C0006,A00014,2025-10,7,1065.12,0
T000171,C0006,A00013,2025-11,10,3575.22,2773.47
T000172,C0006,A00013,2025-12,12,1417.99,863.62
T000173,C0006,A00014,2025-12,7,1996.46,0
T000174,C0007,A00015,2024-01,2,1963.66,167.44
T000175,C0007,A00015,2024-02,1,997.2,748.67
T000176,C0007,A00015,2024-03,7,2938.48,1344.91
T000177,C0007,A00015,2024-04,3,2126.7,343.45
T000178,C0007,A00016,2024-05,9,991.19,0
T000179,C0007,A00016,2024-07,10,1333.65,0
T000180,C0007,A00015,2024-07,4,4815.9,685.81
T000181,C0007,A00015,2024-08,4,1365.05,1519.52
T000182,C0007,A00015,2024-09,5,2235.98,1992.23
T000183,C0007,A00016,2024-09,9,1448.65,0
T000184,C0007,A00015,2024-10,11,166.82,122.36
T000185,C0007,A00015,2024-12,9,3709.02,276.7
T000186,C0007,A00016,2024-12,12,1974.78,0
T000187,C0007,A00015,2025-02,12,6652.94,745.77
T000188,C0007,A00016,2025-03,10,1309.85,0
T000189,C0007,A00016,2025-04,2,827.22,0
T000190,C0007,A00015,2025-04,9,1475.79,1512.57
T000191,C0007,A00015,2025-05,6,851.4,600.02
T000192,C0007,A00016,2025-05,9,1993.18,0
T000193,C0007,A00015,2025-06,4,733.75,1691.36
T000194,C0007,A00016,2025-07,3,2101.67,0
T000195,C0007,A00016,2025-08,7,1422.48,0
T000196,C0007,A00015,2025-08,9,1775.42,204.22
T000197,C0007,A00016,2025-10,3,1585.12,0
T000198,C0007,A00015,2025-11,6,1020.19,85.54
T000199,C0007,A00016,2025-11,6,872.36,0
T000200,C0007,A00016,2025-12,1,633.96,0
T000201,C0008,A00017,2024-01,12,4995.86,5680.11
T000202,C0008,A00018,2024-01,10,2501.02,1214.87
T000203,C0008,A00018,2024-03,7,2507.67,3943.94
T000204,C0008,A00018,2024-04,10,2890.85,686.65
T000205,C0008,A00018,2024-06,4,3739.66,338.38
T000206,C0008,A00017,2024-06,9,2553.62,1078.14
T000207,C0008,A00017,2024-07,11,0,2282.72
T000208,C0008,A00017,2024-08,2,2019.81,1112.12
T000209,C0008,A00018,2024-08,9,1909.77,3728.53
T000210,C0008,A00018,2024-10,1,2298.11,120.5
T000211,C0008,A00018,2024-11,11,2300.26,1533.2
T000212,C0008,A00018,2024-12,5,2095.05,3495.43
T000213,C0008,A00018,2025-01,1,1923.34,1808.69
T000214,C0008,A00017,2025-01,3,3491.64,1137.65
T000215,C0008,A00018,2025-02,12,1000.27,1135.61
T000216,C0008,A00017,2025-03,10,1274.97,3486.0
T000217,C0008,A00017,2025-04,3,5995.33,2208.48
T000218,C0008,A00018,2025-04,2,0,2662.19
T000219,C0008,A00017,2025-05,11,1620.76,5233.54
T000220,C0008,A00018,2025-06,8,2996.66,0
T000221,C0008,A00017,2025-07,8,574.24,4499.63
T000222,C0008,A00017,2025-09,7,2644.53,1171.23
T000223,C0008,A00018,2025-09,7,1329.5,2206.24
T000224,C0008,A00017,2025-11,2,1774.93,3126.7
T000225,C0008,A00018,2025-11,4,1389.09,1906.87
T000226,C0008,A00018,2025-12,4,4104.22,2219.18
T000227,C0008,A00017,2025-12,4,1905.72,0
T000228,C0009,A00019,2024-01,12,656.72,1842.08
T000229,C0009,A00020,2024-01,10,1625.92,0
T000230,C0009,A00020,2024-02,8,1324.11,0
T000231,C0009,A00019,2024-02,8,2072.32,853.91
T000232,C0009,A00019,2024-03,6,3522.78,853.16
T000233,C0009,A00019,2024-05,4,549.0,431.84
T000234,C0009,A00020,2024-06,6,1176.67,0
T000235,C0009,A00019,2024-06,9,5519.13,701.43
T000236,C0009,A00019,2024-07,9,0,0
T000237,C0009,A00020,2024-07,2,1771.48,0
T000238,C0009,A00019,2024-08,4,1905.95,56.12
T000239,C0009,A00020,2024-08,5,1791.89,0
T000240,C0009,A00019,2024-09,3,2324.4,695.61
T000241,C0009,A00019,2024-10,11,2871.3,264.04
T000242,C0009,A00020,2024-11,5,1835.71,0
T000243,C0009,A00019,2024-11,12,1083.48,212.06
T000244,C0010,A00021,2024-03,12,6756.43,4399.28
T000245,C0010,A00021,2024-05,2,38.54,2371.27
T000246,C0010,A00021,2024-06,12,2259.25,1603.05
T000247,C0010,A00021,2024-08,1,3441.37,2049.22
T000248,C0010,A00021,2024-09,11,488.58,2398.07
T000249,C0010,A00021,2024-10,5,4112.14,1281.93
T000250,C0010,A00021,2024-11,11,3682.71,1769.47
T000251,C0010,A00021,2024-12,7,3530.5,3790.42
T000252,C0010,A00021,2025-01,3,0,6563.87
T000253,C0010,A00021,2025-02,6,3634.21,5209.96
T000254,C0010,A00021,2025-03,4,1586.75,1692.52
T000255,C0010,A00021,2025-04,8,5264.8,1945.17
T000256,C0010,A00021,2025-05,5,799.43,3119.97
T000257,C0010,A00021,2025-06,10,1945.73,6502.55
T000258,C0010,A00021,2025-07,5,1312.2,961.75
T000259,C0010,A00021,2025-08,9,706.98,4534.63
T000260,C0010,A00021,2025-09,3,4461.9,3277.6
T000261,C0010,A00021,2025-10,5,2753.4,3966.62
T000262,C0010,A00021,2025-11,12,5858.74,556.2
T000263,C0010,A00021,2025-12,1,2444.86,1940.27
T000264,C0011,A00022,2024-01,2,2278.7,2714.7
T000265,C0011,A00022,2024-02,6,1663.18,2215.01
T000266,C0011,A00022,2024-03,11,1844.55,1075.09
T000267,C0011,A00022,2024-04,5,855.36,1788.61
T000268,C0011,A00022,2024-05,3,2983.13,0
T000269,C0011,A00022,2024-06,8,1805.09,3803.22
T000270,C0011,A00022,2024-07,3,753.29,2087.68
T000271,C0011,A00022,2024-08,5,1272.92,2869.04
T000272,C0011,A00022,2024-09,12,4241.86,3623.52
T000273,C0011,A00022,2024-11,10,3217.05,3075.57
T000274,C0011,A00022,2025-02,3,2334.78,2534.27
T000275,C0011,A00022,2025-03,7,3015.85,1591.25
T000276,C0011,A00022,2025-04,8,1750.01,1191.46
T000277,C0011,A00022,2025-05,3,1972.93,367.93
T000278,C0011,A00022,2025-06,10,3174.17,3964.54
T000279,C0011,A00022,2025-07,11,2789.27,269.17
T000280,C0011,A00022,2025-08,2,1263.68,1644.56
T000281,C0011,A00022,2025-09,8,1308.03,2548.82
T000282,C0012,A00023,2024-01,6,1634.22,5202.93
T000283,C0012,A00023,2024-03,5,1832.6,2048.83
T000284,C0012,A00025,2024-03,4,2722.36,0
T000285,C0012,A00025,2024-04,7,3733.98,1469.24
T000286,C0012,A00024,2024-04,8,1632.64,0
T000287,C0012,A00025,2024-05,1,947.58,598.53
T000288,C0012,A00023,2024-05,5,4145.95,5018.98
T000289,C0012,A00026,2024-06,2,1628.4,0
T000290,C0012,A00025,2024-06,4,0,877.43
T000291,C0012,A00024,2024-07,3,3276.46,2415.86
T000292,C0012,A00025,2024-08,7,1685.45,0
T000293,C0012,A00023,2024-10,5,2220.8,3002.44
T000294,C0013,A00027,2024-01,4,5050.11,404.0
T000295,C0013,A00027,2024-02,4,2556.25,363.39
T000296,C0013,A00027,2024-03,1,2280.8,5481.38
T000297,C0013,A00027,2024-04,10,3902.87,3610.93
T000298,C0013,A00027,2024-06,2,3283.54,7299.71
T000299,C0013,A00027,2024-07,7,9262.14,1116.23
T000300,C0013,A00027,2024-08,4,2984.85,2740.67
T000301,C0013,A00027,2024-09,9,729.04,5642.51
T000302,C0013,A00027,2024-10,6,1560.69,3651.74
T000303,C0013,A00027,2024-11,12,5758.61,758.97
T000304,C0013,A00027,2024-12,2,1780.71,4459.3
T000305,C0013,A00027,2025-01,5,2626.3,1694.75
T000306,C0013,A00027,2025-03,2,1412.28,3696.01
T000307,C0013,A00027,2025-04,4,832.26,7307.29
T000308,C0013,A00027,2025-05,12,5307.9,0
T000309,C0013,A00027,2025-06,6,4539.21,6515.08
T000310,C0013,A00027,2025-07,8,5215.2,4606.52
T000311,C0013,A00027,2025-08,8,5596.69,204.24
T000312,C0013,A00027,2025-09,2,789.12,234.97
T000313,C0013,A00027,2025-10,2,1538.12,914.68
T000314,C0013,A00027,2025-11,5,6067.5,5549.61
T000315,C0014,A00029,2024-01,9,3429.7,103.43
T000316,C0014,A00030,2024-02,8,2097.55,446.98
T000317,C0014,A00029,2024-02,1,0,2917.53
T000318,C0014,A00030,2024-03,7,2710.94,1158.57
T000319,C0014,A00029,2024-04,7,2269.98,581.97
T000320,C0014,A00030,2024-04,10,2319.03,545.33
T000321,C0014,A00028,2024-06,1,2003.77,0
T000322,C0014,A00029,2024-07,2,1807.37,854.05
T000323,C0014,A00028,2024-07,10,1345.33,0
T000324,C0014,A00028,2024-08,1,2224.01,0
T000325,C0014,A00029,2024-08,10,2269.51,890.45
T000326,C0014,A00030,2024-09,6,3544.11,407.71
T000327,C0014,A00028,2024-09,2,3229.94,0
T000328,C0014,A00028,2024-10,5,1046.52,0
T000329,C0014,A00030,2024-11,7,593.18,527.57
T000330,C0014,A00029,2024-11,8,199.07,242.62
T000331,C0014,A00030,2024-12,7,171.61,0
T000332,C0014,A00028,2024-12,5,1929.96,0
T000333,C0014,A00028,2025-02,4,271.01,0
T000334,C0014,A00028,2025-03,3,1616.52,0
T000335,C0014,A00030,2025-03,6,738.08,532.92
T000336,C0014,A00030,2025-04,10,1305.49,428.57
T000337,C0014,A00028,2025-04,12,1672.38,0
T000338,C0014,A00028,2025-05,4,1148.39,0
T000339,C0014,A00030,2025-06,2,1841.88,489.18
T000340,C0014,A00028,2025-06,3,1109.81,0
T000341,C0014,A00028,2025-07,4,878.65,0
T000342,C0014,A00030,2025-07,6,697.85,0
T000343,C0014,A00028,2025-08,2,2766.86,0
T000344,C0014,A00030,2025-08,12,1038.22,705.34
T000345,C0014,A00030,2025-09,2,283.31,1527.56
T000346,C0014,A00028,2025-09,5,1288.64,0
T000347,C0014,A00028,2025-10,2,517.87,0
T000348,C0014,A00030,2025-11,8,2244.78,876.59
T000349,C0014,A00028,2025-12,1,1416.88,0
T000350,C0015,A00031,2024-01,8,1050.9,1604.17
T000351,C0015,A00031,2024-02,7,833.43,603.52
T000352,C0015,A00031,2024-03,9,3740.14,231.43
T000353,C0015,A00031,2024-04,9,2704.81,605.31
T000354,C0015,A00031,2024-05,11,1220.09,444.4
T000355,C0015,A00031,2024-06,5,2533.25,654.5
T000356,C0015,A00031,2024-07,7,5093.83,1151.3
T000357,C0015,A00031,2024-08,5,749.58,0
T000358,C0015,A00031,2024-09,12,1487.86,998.8
T000359,C0015,A00031,2024-10,5,12.32,0
T000360,C0015,A00031,2024-11,7,0,522.4
T000361,C0015,A00031,2024-12,5,757.82,950.95
T000362,C0015,A00031,2025-03,3,3874.51,1978.35
T000363,C0015,A00031,2025-04,5,1252.27,717.94
T000364,C0015,A00031,2025-05,9,124.39,1344.14
T000365,C0015,A00031,2025-06,3,3497.59,743.42
T000366,C0015,A00031,2025-07,7,4810.84,956.81
T000367,C0015,A00031,2025-10,6,0,0
T000368,C0015,A00031,2025-11,12,1088.06,1040.01
T000369,C0015,A00031,2025-12,6,2440.07,1218.12
T000370,C0016,A00032,2024-01,6,1644.3,0
T000371,C0016,A00033,2024-01,3,274.59,182.54
T000372,C0016,A00032,2024-02,2,2461.86,0
T000373,C0016,A00033,2024-02,10,2516.08,2702.8
T000374,C0016,A00033,2024-04,10,129.03,3262.32
T000375,C0016,A00032,2024-04,8,1520.26,0
T000376,C0016,A00032,2024-05,12,924.98,0
T000377,C0016,A00032,2024-06,7,885.33,0
T000378,C0016,A00032,2024-09,6,1650.74,0
T000379,C0016,A00033,2024-10,9,497.6,2931.47
T000380,C0016,A00032,2024-10,10,1627.64,0
T000381,C0016,A00033,2024-11,9,1087.64,1337.79
T000382,C0016,A00032,2024-11,2,1793.9,0
T000383,C0016,A00033,2024-12,2,2182.58,2554.02
T000384,C0016,A00032,2024-12,10,1425.55,0
T000385,C0016,A00033,2025-01,12,1486.03,4368.88
T000386,C0016,A00032,2025-01,1,1046.03,0
T000387,C0016,A00033,2025-02,2,373.59,3006.54
T000388,C0017,A00034,2024-01,7,1392.71,1367.32
T000389,C0017,A00034,2024-02,9,825.81,544.6
T000390,C0017,A00034,2024-03,1,3919.05,1044.9
T000391,C0017,A00034,2024-04,5,59.06,650.11
T000392,C0017,A00034,2024-05,7,1505.43,362.53
T000393,C0017,A00034,2024-06,8,871.08,1084.74
T000394,C0017,A00034,2024-07,5,811.8,1903.11
T000395,C0017,A00034,2024-08,9,3523.17,311.66
T000396,C0017,A00034,2024-09,4,2632.3,1466.64
T000397,C0017,A00034,2024-10,4,2897.55,349.19
T000398,C0017,A00034,2024-11,11,2626.62,1372.55
T000399,C0017,A00034,2024-12,7,627.74,195.82
T000400,C0017,A00034,2025-01,12,3436.96,537.93
T000401,C0017,A00034,2025-02,3,944.84,2283.59
T000402,C0017,A00034,2025-03,12,1283.89,369.0
T000403,C0017,A00034,2025-05,1,2744.33,1026.94
T000404,C0017,A00034,2025-06,6,4481.82,176.27
T000405,C0017,A00034,2025-07,1,5248.12,849.98
T000406,C0017,A00034,2025-08,10,501.41,738.51
T000407,C0017,A00034,2025-09,2,2940.02,1514.38
T000408,C0017,A00034,2025-10,5,0,1439.73
T000409,C0017,A00034,2025-11,11,2226.68,579.1
T000410,C0017,A00034,2025-12,4,936.32,722.26
T000411,C0018,A00036,2024-01,7,1122.86,0
T000412,C0018,A00035,2024-01,7,2818.99,811.68
T000413,C0019,A00037,2024-01,5,1041.23,0
T000414,C0019,A00038,2024-01,9,2357.05,1079.55
T000415,C0019,A00038,2024-02,5,377.86,1564.28
T000416,C0019,A00037,2024-03,11,1860.18,0
T000417,C0019,A00038,2024-04,12,1607.71,1042.2
T000418,C0019,A00037,2024-04,2,1762.38,0
T000419,C0019,A00038,2024-06,5,2256.46,0
T000420,C0019,A00037,2024-07,8,1909.79,0
T000421,C0019,A00038,2024-07,4,1120.54,822.32
T000422,C0019,A00038,2024-08,3,3249.06,1984.2
T000423,C0019,A00037,2024-09,8,1692.78,0
T000424,C0019,A00038,2024-09,6,1512.08,0
T000425,C0019,A00037,2024-11,5,1161.96,0
T000426,C0019,A00038,2024-11,1,3873.81,0
T000427,C0019,A00037,2024-12,10,2551.24,0
T000428,C0019,A00038,2024-12,4,1472.07,1178.34
T000429,C0019,A00037,2025-01,9,2420.74,0
T000430,C0019,A00037,2025-02,6,1927.09,0
T000431,C0019,A00038,2025-02,3,1792.77,1252.21
T000432,C0019,A00038,2025-03,7,3744.4,1043.74
T000433,C0019,A00037,2025-03,9,2053.37,0
T000434,C0019,A00038,2025-04,12,421.48,861.05
T000435,C0019,A00037,2025-05,3,1267.45,0
T000436,C0019,A00038,2025-05,9,293.72,991.36
T000437,C0019,A00038,2025-06,12,957.19,501.52
T000438,C0019,A00037,2025-06,6,726.21,0
T000439,C0019,A00038,2025-07,8,2274.89,607.2
T000440,C0019,A00038,2025-08,12,958.34,792.16
T000441,C0019,A00038,2025-09,3,3184.18,361.35
T000442,C0019,A00037,2025-10,11,1450.4,0
T000443,C0019,A00037,2025-11,3,2106.52,0
T000444,C0019,A00038,2025-11,3,1328.1,82.68
T000445,C0020,A00039,2024-01,3,1806.79,1599.69
T000446,C0020,A00039,2024-03,2,3904.21,587.64
T000447,C0020,A00039,2024-04,1,617.02,0
T000448,C0020,A00039,2024-05,2,1894.54,1050.11
T000449,C0020,A00039,2024-06,2,2044.09,476.96
T000450,C0020,A00039,2024-07,11,5250.0,854.48
T000451,C0020,A00039,2024-08,5,5592.32,0
T000452,C0020,A00039,2024-09,6,3189.39,361.58
T000453,C0020,A00039,2024-10,1,4802.72,1128.24
T000454,C0020,A00039,2024-12,1,4449.71,44.47
T000455,C0020,A00039,2025-01,2,4009.92,165.68
T000456,C0020,A00039,2025-03,5,4825.09,881.42
T000457,C0020,A00039,2025-04,2,2132.84,561.22
T000458,C0020,A00039,2025-05,1,0,1066.07
T000459,C0020,A00039,2025-07,1,248.4,696.6
T000460,C0020,A00039,2025-08,7,1962.72,321.96
T000461,C0020,A00039,2025-10,7,1626.29,0
T000462,C0020,A00039,2025-11,8,363.14,0
T000463,C0020,A00039,2025-12,1,1586.53,246.86
T000464,C0021,A00040,2024-01,10,2769.5,979.93
T000465,C0021,A00040,2024-02,1,2074.54,2700.08
T000466,C0021,A00040,2024-03,11,1613.79,578.93
T000467,C0021,A00040,2024-04,5,1623.85,3608.62
T000468,C0021,A00040,2024-06,2,1623.32,2340.62
T000469,C0021,A00040,2024-07,8,874.72,290.54
T000470,C0021,A00040,2024-08,5,2218.44,1524.14
T000471,C0021,A00040,2024-10,2,2222.55,852.27
T000472,C0021,A00040,2024-11,3,955.65,2950.54
T000473,C0021,A00040,2024-12,1,2960.2,3029.44
T000474,C0021,A00040,2025-01,5,0,2589.34
T000475,C0021,A00040,2025-02,8,1563.13,2283.05
T000476,C0021,A00040,2025-03,10,1536.19,3558.62
T000477,C0021,A00040,2025-04,12,3298.52,3714.71
T000478,C0021,A00040,2025-05,5,2235.16,3367.37
T000479,C0021,A00040,2025-06,8,1461.52,3517.37
T000480,C0021,A00040,2025-07,1,1739.68,3391.27
T000481,C0021,A00040,2025-08,12,2213.66,2002.27
T000482,C0021,A00040,2025-10,9,2894.81,3998.13
T000483,C0021,A00040,2025-11,1,983.95,2749.42
T000484,C0021,A00040,2025-12,2,0,0
T000485,C0022,A00041,2024-01,6,167.62,896.54
T000486,C0022,A00043,2024-01,1,1688.92,0
T000487,C0022,A00042,2024-02,1,2032.88,1513.95
T000488,C0022,A00043,2024-04,11,2748.87,0
T000489,C0022,A00042,2024-04,5,2031.45,3976.68
T000490,C0022,A00043,2024-05,12,976.1,0
T000491,C0022,A00042,2024-05,5,2007.47,3811.03
T000492,C0022,A00042,2024-06,7,1046.78,3436.95
T000493,C0022,A00041,2024-06,5,4461.84,524.28
T000494,C0022,A00043,2024-07,12,1225.24,0
T000495,C0022,A00043,2024-08,4,1474.6,0
T000496,C0022,A00041,2024-08,12,2059.22,640.38
T000497,C0022,A00042,2024-09,9,1277.17,1054.37
T000498,C0022,A00042,2024-10,5,2271.73,4513.66
T000499,C0022,A00042,2024-11,9,1963.03,0
T000500,C0022,A00043,2024-11,6,1697.89,0
T000501,C0022,A00042,2024-12,1,1385.68,2061.65
T000502,C0022,A00043,2024-12,10,955.32,0
T000503,C0022,A00042,2025-01,9,1593.67,2806.6
T000504,C0022,A00041,2025-01,4,0,1938.93
T000505,C0022,A00042,2025-02,9,2661.87,2417.7
T000506,C0022,A00041,2025-02,8,3388.78,0
